Index,Time,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60
Cell149,0.29659318637274545,5,22,41,19,54,16,15,21,23,32,6,1,1,7,0,3,1,0,0,10,0,0,0,2,3,2,2,1,1,1,1,6,7,22,8,1,3,0,5,22,86,6555,4595,6101,16987,1197,350,281,64,1736,19,19,20,14,25,33,8,1,43,34,0,5,2,2,3,0,3,0,1,1,0,13,12,15,72,48,3,8,22,21
Cell150,0.2985971943887775,7,41,42,19,131,10,14,16,57,2,0,0,2,11,3,11,1,1,3,3,2,1,1,0,0,0,0,1,0,4,7,4,12,20,2,8,0,3,3,27,336,1401,2501,3934,17968,5776,98,1150,1401,2936,22,5,17,46,29,18,33,9,63,146,2,1,1,0,0,1,1,0,1,0,25,68,41,32,56,60,3,19,54,43
Cell151,0.3006012024048096,3,58,54,13,55,10,3,6,20,12,1,3,4,10,1,4,1,5,1,9,1,0,1,0,4,1,2,0,0,1,2,12,5,9,6,5,0,1,0,41,385,5646,4420,6404,15406,1573,236,241,2529,1657,10,8,18,14,33,23,8,15,22,45,1,1,1,8,11,2,1,3,0,1,26,67,33,107,13,82,0,24,29,16
Cell152,0.30260521042084165,8,23,39,2,87,18,4,8,2,24,5,8,2,0,1,17,3,2,6,8,0,0,4,0,2,0,0,3,0,6,0,2,2,12,31,4,0,1,6,8,255,8205,4343,3455,17530,4601,596,572,2477,3136,39,28,20,31,16,13,23,13,4,34,2,1,1,1,5,0,3,3,4,2,4,26,84,63,78,33,14,3,82,15
Cell153,0.3046092184368737,6,40,50,16,28,4,3,18,13,26,0,2,4,6,0,17,0,1,4,11,2,2,1,2,0,5,4,0,0,1,4,8,7,2,8,0,1,0,7,3,192,11108,4431,2177,13553,5096,163,672,2070,1401,12,14,11,34,20,49,13,8,46,54,0,5,1,0,2,0,1,2,5,0,16,38,52,11,130,38,8,15,108,12
Cell154,0.3066132264529058,7,48,32,10,80,12,1,18,31,13,2,3,4,1,1,5,1,2,3,9,1,0,0,1,3,0,2,2,2,0,2,2,1,14,9,0,0,2,3,12,720,3994,844,3076,2367,2186,96,111,1352,2009,12,12,5,36,6,33,25,14,158,29,3,2,3,0,1,0,6,2,1,4,2,46,39,15,76,13,5,8,20,51
Cell155,0.30861723446893785,3,40,8,12,19,16,11,4,10,12,4,2,1,11,0,8,4,1,1,6,2,0,1,0,0,0,0,0,1,1,0,15,5,8,6,1,2,1,4,30,141,3024,909,2849,6606,1747,211,491,4303,980,43,44,25,31,20,28,2,13,39,16,0,7,2,2,0,0,2,0,0,0,6,16,32,63,103,2,6,7,68,48
Cell156,0.3106212424849699,12,61,34,27,36,7,6,6,17,24,2,7,2,16,3,12,1,1,1,3,0,1,0,2,1,0,0,3,1,1,6,5,10,7,8,0,1,0,7,25,1089,8091,1347,4539,27058,1427,117,399,5843,4256,4,44,6,14,31,51,4,13,15,46,0,0,3,0,1,1,2,0,1,1,1,26,48,8,15,38,2,4,23,15
Cell157,0.312625250501002,23,4,52,4,9,7,1,23,17,8,7,3,4,9,1,4,6,1,1,1,3,0,0,1,2,1,0,0,0,1,4,6,4,19,2,1,4,0,11,12,295,3052,2212,9350,4243,4805,97,713,1681,420,19,32,2,36,4,11,18,29,24,80,1,0,3,1,2,1,1,5,0,0,4,11,21,69,88,12,3,8,48,24
Cell158,0.31462925851703405,8,36,24,25,148,15,9,7,24,3,2,9,1,1,0,10,1,1,2,3,0,1,2,0,0,2,5,2,1,2,3,0,6,19,6,3,2,0,0,7,348,3835,3565,2748,9691,2340,146,315,7280,3206,12,56,6,31,39,14,12,5,23,41,0,7,0,0,1,1,0,0,0,0,4,24,32,68,63,70,6,12,44,6
Cell159,0.3166332665330661,5,49,2,9,107,6,4,14,28,20,3,0,0,9,2,5,2,2,3,0,0,1,1,1,1,0,0,2,2,3,6,0,7,12,6,7,3,3,6,10,488,12036,2098,3415,4062,2752,127,1113,2164,4175,36,27,14,14,26,16,2,20,44,58,0,1,3,2,3,2,2,1,0,1,1,26,26,30,50,13,5,5,22,44
Cell160,0.3186372745490982,0,28,21,8,110,19,1,20,1,6,13,1,2,4,1,2,3,0,2,3,1,0,0,3,1,0,1,4,1,1,0,7,3,2,16,2,0,0,16,2,90,15540,9454,4945,1928,4869,448,524,5560,1570,22,2,14,18,21,11,6,28,18,68,3,1,2,2,0,6,1,1,2,0,3,22,46,120,53,22,2,4,66,16
Cell161,0.32064128256513025,11,28,10,12,66,10,5,6,1,19,2,9,2,1,2,12,4,4,4,3,0,2,2,1,1,1,2,0,1,5,1,4,5,15,3,2,1,1,3,8,164,1818,8436,5058,3354,6085,402,837,1481,209,15,23,21,11,23,25,19,12,50,54,1,0,0,1,11,3,3,0,1,0,15,54,22,79,77,47,7,19,35,54
Cell162,0.3226452905811623,11,17,24,40,49,3,7,10,8,8,1,1,4,9,1,2,4,0,3,2,0,2,1,1,0,0,3,0,2,4,4,11,4,9,7,5,0,1,11,10,83,5897,4352,1747,6027,2660,451,307,4681,9998,8,22,7,16,32,5,56,14,40,82,2,7,2,3,1,1,3,1,1,0,6,41,9,26,45,49,10,18,74,20
Cell163,0.3246492985971944,4,36,58,19,161,14,20,21,10,43,2,1,1,7,3,5,4,2,4,9,3,1,1,0,0,1,2,4,4,2,0,4,10,10,4,0,0,1,7,8,486,11685,1173,1239,19497,2558,154,838,3360,2204,5,8,2,40,30,21,23,27,30,15,2,3,4,0,7,2,3,3,0,0,3,9,15,70,105,93,1,7,68,43
Cell164,0.32665330661322645,17,8,16,3,105,10,3,4,12,12,3,1,0,5,1,5,3,0,3,3,1,2,0,0,3,0,0,0,0,1,2,5,3,22,3,6,1,0,6,8,415,3590,3768,8945,22800,3599,781,260,822,1958,8,43,26,38,2,38,7,31,53,14,0,6,2,0,2,0,1,0,0,3,4,27,13,49,43,46,0,5,159,24
Cell165,0.3286573146292585,8,58,50,29,25,20,2,3,25,23,0,9,1,7,4,6,4,1,0,2,2,0,4,1,0,1,2,1,1,0,3,2,11,3,1,1,3,3,8,7,597,2513,1738,867,14485,7397,236,905,6544,2078,39,21,18,9,11,10,33,25,7,31,0,1,1,1,3,1,1,4,1,2,9,23,31,33,67,48,4,1,59,19
Cell166,0.3306613226452906,1,3,31,30,78,8,8,6,39,11,1,4,0,1,2,8,0,1,3,9,2,1,0,0,2,0,0,3,6,0,2,9,1,18,4,11,1,0,2,10,1119,5398,5934,2521,7446,187,107,477,2803,6658,4,49,10,33,14,25,7,8,11,56,2,1,3,0,0,1,2,1,0,1,9,11,22,54,21,14,1,12,6,10
Cell167,0.33266533066132264,6,39,44,24,18,8,5,13,4,28,1,7,0,0,0,8,3,5,1,3,0,3,3,2,2,1,2,3,0,0,6,5,6,7,10,1,3,2,2,7,416,5014,4027,1551,3325,7681,304,733,2576,4645,15,10,25,9,21,3,5,14,11,21,0,1,5,0,6,2,1,2,0,1,14,140,14,2,59,70,8,14,33,57
Cell168,0.33466933867735466,8,69,16,29,81,31,3,7,49,23,0,1,2,5,3,5,1,2,15,15,0,1,0,0,0,1,2,4,4,1,2,11,5,6,9,1,0,0,6,8,294,6310,3607,12970,9142,1489,173,573,1065,3928,49,7,16,18,4,36,30,16,29,87,1,4,0,1,2,0,0,1,1,0,4,9,16,18,13,35,2,14,78,73
Cell169,0.3366733466933867,5,35,63,24,134,13,5,9,38,17,1,1,1,6,0,13,3,0,3,1,2,0,1,1,1,0,4,3,2,2,3,1,3,9,12,2,4,3,5,27,308,3947,3919,2075,1149,1413,156,833,895,2778,13,9,11,23,10,34,20,13,47,34,1,6,0,0,1,1,0,0,1,1,12,1,10,8,24,41,4,14,35,33
Cell170,0.3386773547094188,14,15,47,11,56,12,7,6,10,31,7,1,0,3,1,6,0,0,0,8,0,2,0,0,2,0,0,0,2,0,12,1,2,1,5,2,2,0,5,7,189,7123,4159,9069,2896,3648,329,359,468,1288,15,7,15,12,12,61,6,9,38,48,1,1,1,0,2,0,0,1,0,2,19,46,50,40,6,10,5,11,51,19
Cell171,0.34068136272545085,14,26,27,2,16,8,7,19,39,6,0,5,2,1,3,2,1,3,3,6,1,4,1,1,3,2,0,0,2,0,2,11,5,4,6,6,0,2,0,17,181,3829,13302,4356,17830,3789,302,1670,4050,1286,21,9,2,30,9,13,24,7,2,56,3,1,1,4,8,1,4,0,1,1,4,31,14,46,99,17,4,10,44,62
Cell172,0.3426853707414829,8,14,17,20,92,9,20,7,34,9,0,6,1,8,0,2,1,3,3,7,1,1,0,0,9,0,2,2,0,2,1,2,0,11,0,1,0,2,1,21,764,6913,4330,15299,26607,1162,429,1512,4269,2278,5,9,6,14,11,31,15,11,12,7,1,5,1,0,5,1,7,1,2,1,19,27,51,28,69,47,6,7,61,9
Cell173,0.344689378757515,3,39,37,22,89,21,22,14,14,35,1,1,1,6,1,1,7,7,1,3,0,0,1,0,0,0,2,2,0,1,2,1,13,4,15,1,1,3,6,10,285,1748,4188,1615,1753,5003,163,583,3919,2461,39,3,21,57,2,33,13,13,64,61,1,1,2,7,3,0,0,1,2,1,18,43,29,79,66,34,1,3,64,29
Cell174,0.34669338677354705,14,38,24,7,187,39,3,3,11,18,4,1,0,0,1,0,1,4,0,5,3,0,0,2,4,1,0,5,2,0,3,1,7,20,1,2,6,0,5,8,127,7232,6818,7950,13147,6125,638,296,1820,3488,24,13,13,7,22,18,25,17,15,18,6,6,3,2,4,1,0,3,0,1,3,2,8,8,40,13,10,18,4,52
Cell175,0.3486973947895791,6,26,38,78,23,26,0,12,24,12,3,5,4,5,1,5,1,3,0,5,1,1,3,2,1,0,1,0,2,0,0,11,8,14,3,1,0,0,9,14,316,11741,2369,13200,7147,6587,253,292,1976,2440,34,12,12,30,9,33,42,27,12,72,1,2,0,0,0,3,2,0,2,0,2,8,26,79,29,41,2,14,3,20
Cell176,0.3507014028056112,0,38,26,14,9,30,10,14,43,37,4,1,0,8,0,2,2,0,5,5,1,3,2,0,1,0,1,0,2,2,1,5,5,4,7,2,1,4,6,5,316,5927,2579,6538,34676,1571,442,1174,879,3141,1,20,17,26,9,40,11,2,17,47,0,8,1,3,3,0,1,0,0,2,4,40,39,49,91,28,2,8,27,33
Cell177,0.35270541082164325,23,31,64,27,105,38,21,14,26,4,0,5,3,3,0,10,6,5,1,2,5,0,1,0,0,2,1,4,0,0,1,9,11,24,0,1,2,0,1,11,860,7571,4443,6777,18253,2392,38,410,675,1707,15,7,12,20,21,32,31,11,22,66,1,1,3,1,1,2,1,0,1,0,15,31,15,9,53,31,5,17,22,36
Cell178,0.3547094188376753,25,8,32,29,159,8,7,35,49,26,0,2,0,3,3,10,1,1,1,2,1,1,2,3,2,0,2,0,0,3,0,2,11,17,6,2,3,1,4,20,78,3593,8992,7452,8055,4404,190,293,1547,2723,9,13,16,5,7,24,38,26,20,20,1,3,0,0,1,0,0,1,2,0,1,43,20,66,13,82,2,13,4,40
Cell179,0.3567134268537074,4,31,3,15,64,45,14,13,13,5,0,7,1,2,0,9,3,2,0,4,0,1,3,1,2,2,1,0,2,1,1,1,0,20,0,2,3,3,6,3,215,5724,2259,8882,11905,2855,88,134,219,5439,13,46,13,46,8,19,0,4,38,24,0,3,3,1,6,0,0,0,1,1,5,6,31,26,37,19,9,7,59,37
Cell180,0.35871743486973945,16,94,15,39,101,3,17,7,10,8,9,0,1,0,2,3,1,3,4,4,1,3,1,2,6,2,0,1,2,0,6,1,7,28,1,3,1,3,6,2,706,1075,5838,8888,8076,3889,50,600,727,2595,2,34,5,6,38,20,12,8,10,9,0,1,2,0,18,1,0,0,1,1,0,22,44,37,9,56,4,13,93,26
Cell181,0.3607214428857715,2,72,43,10,248,14,6,6,17,13,2,2,1,4,2,3,3,1,0,5,1,1,1,0,4,2,1,4,4,2,0,7,5,5,4,3,2,4,0,8,728,8572,2023,1411,9501,3285,257,1194,5789,6437,26,3,7,2,22,17,3,7,21,15,0,1,4,2,0,1,2,1,1,0,6,19,32,47,89,29,6,4,9,19
Cell182,0.3627254509018036,5,13,11,6,39,35,0,11,25,22,6,2,0,2,0,2,2,1,1,6,0,5,1,0,1,1,0,0,2,1,0,8,8,6,6,1,0,3,4,9,355,3942,5118,5476,33460,2288,223,643,688,2759,34,11,5,7,8,14,18,17,25,35,0,3,3,4,14,0,0,0,1,1,2,36,11,16,14,50,4,3,10,14
Cell183,0.36472945891783565,1,21,29,6,180,6,2,10,34,31,1,1,1,5,0,1,0,2,9,8,0,0,4,0,1,0,2,0,0,1,1,2,11,4,5,0,2,0,2,20,556,1374,2916,7974,12260,11705,70,492,2580,4838,10,20,1,4,10,2,27,16,22,44,0,3,0,0,0,1,0,3,4,3,15,19,11,75,67,45,6,0,97,5
Cell184,0.3667334669338677,4,20,17,39,23,9,4,4,22,11,1,1,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,8,9,1,5,2,0,0,21,128,6090,1822,931,4326,5557,406,874,2728,5298,0,4,7,12,1,29,5,44,38,57,4,3,0,0,4,2,0,0,6,1,5,47,36,55,46,21,9,2,31,5
Cell185,0.3687374749498998,5,76,94,4,74,3,10,1,49,20,3,2,3,3,3,7,2,1,5,3,0,4,2,1,1,0,0,7,2,4,3,6,2,4,5,1,4,1,4,3,133,3123,2771,3773,2556,3518,325,209,4850,1823,21,20,18,12,4,16,9,4,32,56,0,3,7,1,11,6,0,1,1,1,2,21,47,16,40,50,3,5,48,62
Cell186,0.37074148296593185,1,78,59,8,27,4,7,15,15,24,0,3,2,0,8,1,1,1,1,2,0,0,3,2,3,1,2,1,3,4,3,1,5,18,4,0,0,2,3,15,641,3033,2938,5695,18541,13610,773,373,9750,941,13,7,10,16,2,15,11,17,22,25,0,2,3,2,3,0,1,3,1,2,16,33,10,79,5,27,2,5,57,44
Cell187,0.3727454909819639,4,93,46,18,188,18,6,15,58,23,4,2,1,1,0,4,1,0,2,1,4,0,0,1,3,2,1,2,0,1,0,7,9,11,9,2,0,4,0,4,147,8201,8423,1864,7323,5677,331,344,5775,2690,8,33,10,1,8,74,4,8,15,54,0,3,0,0,2,3,7,6,0,5,9,10,24,8,16,46,7,8,57,5
Cell188,0.374749498997996,16,45,36,44,230,16,6,7,13,34,1,2,2,2,3,1,3,3,2,1,0,0,0,1,2,0,4,1,2,2,0,2,1,11,5,0,2,0,12,16,607,2617,11745,7454,11620,2017,316,666,224,2711,33,3,10,18,9,16,37,21,23,22,3,1,5,3,5,1,2,6,2,0,1,2,44,24,34,30,9,0,73,62
Cell189,0.37675350701402804,6,12,57,10,174,35,1,36,9,32,4,1,3,3,0,8,5,2,5,0,0,5,0,0,1,1,1,0,0,2,0,9,7,7,7,0,2,0,8,21,175,7586,5022,5487,14542,6946,401,519,6733,2057,2,14,10,24,9,17,23,10,8,19,2,5,0,3,7,0,0,0,1,0,11,9,12,98,1,19,0,7,45,29
Cell190,0.3787575150300601,4,39,25,19,257,47,4,9,2,23,4,3,1,4,1,13,1,1,2,1,0,2,4,4,5,0,1,3,0,4,9,1,9,3,8,3,0,4,10,12,260,3539,4237,4672,9226,8589,56,716,2361,4071,14,7,26,16,7,13,14,21,57,16,1,3,10,1,0,3,2,10,1,1,8,17,13,40,19,38,10,7,36,20
Cell191,0.3807615230460922,5,19,39,9,242,28,7,11,8,18,1,1,1,4,0,6,5,2,3,3,2,4,1,0,0,3,2,0,2,0,2,4,2,3,22,0,1,0,3,11,560,7363,7119,5107,10356,2995,486,910,1524,797,13,16,17,9,4,38,16,18,24,6,0,4,4,0,2,4,0,0,0,0,9,8,22,10,37,10,6,10,49,5
Cell192,0.38276553106212424,10,86,31,37,122,33,9,16,16,24,0,4,1,2,2,3,2,3,5,7,1,0,2,1,0,4,3,1,2,2,6,3,2,11,5,5,1,0,0,6,608,2910,8872,1675,13981,3513,271,1301,8382,1958,8,9,15,23,10,17,8,9,9,5,0,4,2,3,8,2,1,0,0,1,5,29,30,37,45,3,8,3,104,32
Cell193,0.38476953907815625,10,10,58,83,84,63,14,2,22,11,0,2,3,1,1,1,0,3,0,1,1,0,1,1,1,0,3,4,0,0,1,1,1,10,5,5,1,1,0,20,210,6489,1263,4054,26358,3520,506,477,10091,2416,19,0,10,10,15,21,11,20,35,14,0,5,3,2,2,2,1,2,0,0,6,25,20,107,21,14,9,8,26,11
Cell194,0.3867735470941883,17,37,28,57,148,25,22,8,70,57,2,3,0,7,5,10,3,1,2,4,0,0,0,0,2,1,2,1,7,3,1,2,9,5,4,4,2,3,0,6,190,3161,3679,5857,2297,3522,553,1433,4753,3098,11,40,13,6,15,13,6,15,33,33,6,10,2,0,10,1,1,1,3,0,5,18,6,46,30,20,2,22,19,31
Cell195,0.3887775551102204,4,43,12,19,73,26,4,5,26,28,2,3,2,2,3,7,4,3,0,2,0,2,4,1,0,0,2,1,4,2,3,3,3,14,16,2,1,0,2,6,202,7377,2214,3757,20303,1697,201,1823,3472,964,5,41,5,15,7,21,4,24,27,22,2,4,1,5,8,6,5,2,2,1,11,11,19,14,74,10,2,3,30,12
Cell196,0.39078156312625245,14,63,20,6,65,9,10,10,6,12,0,3,3,3,0,3,2,3,2,2,0,4,0,1,3,4,3,1,4,1,0,3,7,11,3,1,0,0,1,8,683,2231,2997,15885,17039,3829,99,261,3409,5269,12,14,1,28,18,34,3,14,2,41,4,6,5,2,5,1,4,1,2,1,10,8,13,11,10,59,0,12,47,2
Cell197,0.3927855711422845,22,64,18,26,31,39,9,5,45,17,1,6,0,1,1,5,0,3,0,4,5,0,0,2,0,2,0,1,1,3,4,3,4,6,3,1,1,0,4,9,142,2011,3593,9498,10021,8643,479,681,3028,2541,20,23,20,11,5,5,25,23,68,18,0,4,2,1,12,3,1,2,0,0,4,4,8,16,47,20,5,3,65,75
Cell198,0.3947895791583166,5,149,40,12,14,14,5,16,34,26,0,2,0,1,0,3,9,3,1,4,1,0,1,2,0,1,2,0,0,3,1,2,1,10,0,0,0,7,2,2,86,2787,2775,6934,3389,4062,177,419,4082,3098,17,18,15,26,4,24,11,7,16,34,0,6,4,2,1,0,0,2,4,0,2,24,14,27,6,45,6,4,40,32
Cell199,0.39679358717434865,24,15,30,25,144,61,8,21,39,14,2,4,0,1,1,4,3,1,1,1,3,3,1,0,2,2,1,0,0,2,4,2,9,11,5,2,2,0,1,9,373,1734,4095,14183,16227,7007,151,519,2710,4874,7,10,10,11,11,5,18,6,16,39,3,3,8,2,12,3,2,5,6,2,6,44,30,67,42,49,6,5,90,15
Cell200,0.3987975951903807,22,76,20,40,59,22,4,19,18,10,1,2,3,0,2,2,0,2,2,1,0,0,2,0,3,1,2,1,0,0,4,3,2,9,8,3,0,2,1,5,337,6083,6142,13214,9902,4752,584,1271,506,5813,20,36,5,6,17,14,7,7,17,8,0,11,1,0,9,1,0,1,0,1,7,13,3,32,23,14,2,4,25,38
Cell201,0.4008016032064128,4,75,22,7,100,14,10,7,40,23,5,3,1,3,2,1,0,2,4,1,0,3,1,2,2,0,0,1,1,2,1,1,2,8,5,1,0,1,3,1,143,1382,3367,4342,13751,874,276,291,3108,4738,20,6,6,13,4,19,3,9,38,13,3,20,5,2,4,0,2,2,1,0,4,19,16,97,16,20,6,8,100,31
Cell202,0.40280561122244485,2,29,16,31,48,18,15,18,23,23,2,2,2,5,2,7,2,0,2,0,2,1,1,1,0,1,1,0,0,4,0,4,2,7,5,2,2,0,0,4,132,7503,2119,6101,15133,4226,558,1222,6760,2811,4,14,9,30,7,23,22,19,7,7,1,7,8,8,13,3,7,2,0,2,8,7,12,23,24,51,2,2,21,23
Cell203,0.4048096192384769,5,44,72,38,63,26,1,11,33,25,0,2,1,2,1,10,1,2,2,4,0,5,2,3,3,1,0,3,2,0,0,2,4,0,8,0,1,2,3,26,410,4724,9454,5906,11783,18995,393,562,1768,2725,5,14,12,24,18,7,16,7,6,22,3,3,5,11,13,4,3,3,1,0,6,7,23,23,9,22,3,3,202,41
Cell204,0.406813627254509,21,55,22,30,79,59,0,5,9,51,1,6,0,3,4,3,0,1,1,2,2,0,1,0,2,0,4,0,1,4,1,3,5,3,2,5,4,0,6,4,254,1905,1736,1993,11912,8039,112,429,4428,1507,4,0,19,2,2,6,1,3,42,32,3,1,4,3,12,3,2,0,0,1,3,7,15,24,14,46,3,8,138,7
Cell205,0.40881763527054105,2,19,76,35,146,8,2,24,41,12,0,11,3,2,0,3,5,4,0,2,1,1,1,1,5,2,1,1,0,0,2,3,4,3,5,7,1,1,0,19,137,8367,2505,9173,31370,4647,42,1702,4281,5200,8,23,6,5,7,18,0,21,10,16,0,5,4,3,22,0,4,1,3,1,6,20,7,27,17,30,9,4,35,11
Cell206,0.4108216432865731,7,31,45,44,369,26,4,29,57,17,1,2,0,6,0,0,4,0,6,11,2,1,1,0,3,3,0,0,0,1,0,4,3,14,0,0,1,3,2,5,220,4496,4677,2827,3844,2909,540,721,2284,6085,7,8,5,30,4,8,11,9,25,26,0,6,0,1,20,1,0,3,2,0,1,9,26,9,11,40,6,7,51,10
Cell207,0.4128256513026052,27,13,16,70,60,22,12,6,14,1,2,3,0,1,1,4,0,1,5,2,3,0,1,0,5,0,2,1,2,0,1,8,6,2,5,1,2,1,1,15,40,14185,4097,3246,12877,3007,109,374,2967,1318,13,14,6,8,9,11,16,7,2,28,0,2,3,3,9,2,2,1,1,1,3,12,7,7,18,38,3,5,13,23
Cell208,0.41482965931863724,7,103,40,8,172,11,0,20,41,10,1,3,0,2,1,9,1,2,5,0,0,0,3,1,4,0,4,1,0,3,0,3,2,2,11,0,3,1,3,15,395,11049,2892,6050,45167,2054,223,906,4233,4373,10,5,4,8,5,19,20,7,13,16,1,3,10,2,16,2,1,4,0,0,2,3,14,21,28,26,3,15,58,37
Cell209,0.4168336673346693,6,32,64,3,101,30,11,15,13,23,3,3,1,3,0,0,0,1,1,3,0,1,2,0,14,2,1,5,1,0,2,4,3,7,2,6,2,1,0,9,432,5530,3048,6471,21779,2645,86,1596,5037,2529,3,39,9,7,0,9,14,5,7,30,2,2,2,2,7,2,2,2,4,2,20,4,23,37,21,21,7,7,80,32
Cell210,0.4188376753507014,14,28,26,38,39,41,10,14,24,17,0,2,1,0,2,0,3,3,2,5,0,2,4,1,6,1,2,2,4,1,1,3,3,2,3,4,2,1,2,14,549,7527,4151,7401,1024,2194,151,576,7826,3789,9,3,25,19,2,24,17,1,21,14,0,4,4,5,14,2,3,9,0,3,1,27,13,29,31,15,2,1,20,2
Cell211,0.42084168336673344,3,70,37,51,67,24,17,4,13,56,4,0,1,3,0,1,0,0,4,1,1,1,3,4,2,4,1,0,0,3,5,4,3,10,1,2,2,0,2,6,1210,2415,3740,10304,13288,3993,410,1081,5001,1308,23,1,38,15,33,11,28,4,16,23,0,3,5,2,18,0,3,4,3,2,8,13,2,52,12,87,11,12,57,12
Cell212,0.4228456913827655,9,53,57,24,40,52,8,11,19,87,2,2,1,1,0,5,1,2,1,5,1,1,0,1,0,0,2,0,1,6,2,2,6,19,13,3,3,0,0,3,280,10560,2935,4799,7293,5724,191,1664,4336,749,7,7,23,4,9,14,17,7,17,19,0,1,1,1,1,3,9,0,2,1,1,0,5,15,24,13,4,10,19,53
Cell213,0.4248496993987976,18,11,73,26,50,23,3,14,28,22,3,2,2,3,2,1,0,1,1,1,0,1,4,0,3,0,1,2,1,0,0,2,5,7,2,2,0,0,1,5,199,4920,4570,4767,2269,6601,119,179,1720,1070,23,6,9,10,4,24,39,1,4,15,1,2,6,3,16,0,0,7,0,1,10,1,12,38,7,12,5,5,32,14
Cell214,0.42685370741482964,2,35,57,38,87,21,2,1,14,33,2,1,1,4,2,2,5,2,1,0,0,2,2,1,5,0,0,3,1,2,1,7,8,13,3,1,2,1,1,0,173,5875,10541,6378,24686,5685,412,1587,3637,3617,4,9,13,11,6,8,33,6,3,13,1,2,4,5,11,2,2,7,1,0,3,22,3,5,0,27,3,5,17,12
Cell215,0.4288577154308617,9,30,22,48,24,16,13,11,30,10,2,1,1,0,1,5,3,0,4,5,0,0,1,0,7,0,1,6,0,1,0,13,5,4,0,2,1,0,0,6,166,6762,4858,7841,4919,2717,166,548,9221,5602,10,13,9,1,6,11,0,17,19,26,5,8,3,9,6,1,0,3,3,0,7,16,17,31,15,72,1,2,24,14
Cell216,0.4308617234468938,11,16,20,17,49,13,4,13,52,37,2,1,1,1,0,3,2,2,0,4,1,2,3,1,5,1,1,4,1,1,1,3,0,6,1,2,2,2,8,7,884,3310,5456,3354,20821,2032,107,988,4859,6010,4,4,9,18,7,23,8,11,20,18,2,5,2,7,6,1,2,3,0,0,2,13,29,31,4,9,4,9,37,19
Cell217,0.43286573146292584,13,194,65,81,42,48,3,3,35,23,4,1,1,3,2,3,4,1,2,11,0,1,5,2,1,0,1,3,2,1,2,4,6,12,1,0,0,0,0,4,596,3286,1975,1568,10061,3831,132,362,6995,10213,5,25,17,14,8,13,8,12,24,13,0,1,3,4,3,4,0,1,2,5,7,5,11,8,4,21,2,4,18,22
Cell218,0.4348697394789579,8,12,90,61,57,50,12,15,19,14,3,1,2,2,1,2,1,2,3,4,3,2,2,0,1,0,0,0,0,1,0,4,4,11,4,3,0,1,1,16,651,1126,2246,7034,23977,3292,323,638,1413,10314,21,13,1,67,5,14,4,13,8,7,1,1,0,1,2,0,1,7,3,0,3,14,10,28,14,34,5,3,38,31
Cell219,0.4368737474949899,8,107,25,18,224,43,7,10,49,35,0,0,2,5,3,4,2,1,5,0,1,2,1,1,9,2,2,5,1,1,2,3,1,17,3,5,0,0,1,1,386,10283,3345,8600,5042,7854,261,907,9533,1732,19,19,6,33,2,7,14,15,11,10,0,11,2,3,12,1,2,3,0,1,1,21,10,3,3,29,5,3,65,10
Cell220,0.438877755511022,2,52,48,90,67,24,2,29,57,20,2,0,3,1,2,0,1,1,0,2,0,3,3,0,13,2,4,1,1,2,0,2,4,1,1,0,4,1,4,13,504,16703,1516,11650,28409,7977,47,739,6839,5820,6,18,2,23,21,44,7,14,10,11,1,7,1,7,17,2,3,2,3,1,7,1,4,34,2,56,6,9,43,19
Cell221,0.44088176352705405,7,104,90,9,24,21,3,23,45,56,1,1,2,2,4,4,3,2,2,0,1,5,5,0,1,0,1,2,0,1,4,1,7,7,7,1,1,0,2,12,266,8350,4470,5626,11239,4588,123,717,1809,5534,12,8,3,12,3,20,5,22,5,11,2,0,3,2,12,1,8,2,0,2,4,17,8,31,11,31,2,5,23,23
Cell222,0.4428857715430861,25,54,26,65,6,29,5,9,68,8,6,3,0,0,3,1,3,2,2,0,0,1,0,1,0,1,4,3,7,0,2,2,3,6,2,3,0,3,2,25,108,12104,4137,5360,6660,3512,490,1050,5899,1709,13,10,8,1,14,17,0,36,5,2,1,0,9,2,1,8,5,7,1,2,5,10,11,19,14,36,3,1,58,21
Cell223,0.4448897795591182,10,46,0,69,39,52,2,19,56,13,2,2,3,1,9,0,5,1,2,2,0,3,0,1,3,1,2,1,0,1,3,3,2,7,3,2,1,2,0,3,1037,8252,5907,5365,22150,5779,193,817,8636,1395,13,12,2,20,26,22,14,9,8,21,3,11,1,4,5,2,5,4,1,3,3,6,20,30,10,66,3,0,67,30
